#This is the full journey report starting at time 0
#For every pair of vertices, the foremost and shortest journeys are displayed
#Each edge is in the form (originNode[traversalTime]destinationNode)

#This report is for the trace: null
#Uploaded to DTNTES by: null
#No link to the trace was provided

Node 0 to node 1
Foremost Journey: 0 [49] 1
Shortest Journey: 0 [49] 1

Node 0 to node 2
Foremost Journey: 0 [49] 2
Shortest Journey: 0 [49] 2

Node 0 to node 3
Foremost Journey: 0 [49] 3
Shortest Journey: 0 [49] 3

Node 0 to node 4
Foremost Journey: 0 [49] 4
Shortest Journey: 0 [49] 4

Node 0 to node 5
Foremost Journey: 0 [49] 5
Shortest Journey: 0 [49] 5

Node 0 to node 6
Foremost Journey: 0 [49] 6
Shortest Journey: 0 [49] 6

Node 0 to node 7
Foremost Journey: 0 [49] 7
Shortest Journey: 0 [49] 7

Node 0 to node 8
Foremost Journey: 0 [49] 8
Shortest Journey: 0 [49] 8

Node 0 to node 9
Foremost Journey: 0 [49] 9
Shortest Journey: 0 [49] 9

Node 0 to node 10
Foremost Journey: 0 [49] 10
Shortest Journey: 0 [49] 10

Node 0 to node 11
Foremost Journey: 0 [49] 11
Shortest Journey: 0 [49] 11

Node 0 to node 12
Foremost Journey: 0 [49] 12
Shortest Journey: 0 [49] 12

Node 0 to node 13
Foremost Journey: 0 [49] 13
Shortest Journey: 0 [49] 13

Node 0 to node 14
Foremost Journey: 0 [49] 14
Shortest Journey: 0 [49] 14

Node 0 to node 15
Foremost Journey: 0 [49] 15
Shortest Journey: 0 [49] 15

Node 0 to node 16
Foremost Journey: 0 [49] 16
Shortest Journey: 0 [49] 16

Node 0 to node 17
Foremost Journey: 0 [49] 17
Shortest Journey: 0 [49] 17

Node 0 to node 18
Foremost Journey: 0 [49] 18
Shortest Journey: 0 [49] 18

Node 0 to node 19
Foremost Journey: 0 [49] 19
Shortest Journey: 0 [49] 19

Node 0 to node 20
Foremost Journey: 0 [49] 20
Shortest Journey: 0 [49] 20

Node 0 to node 21
Foremost Journey: 0 [49] 21
Shortest Journey: 0 [49] 21

Node 0 to node 22
Foremost Journey: 0 [49] 22
Shortest Journey: 0 [49] 22

Node 0 to node 23
Foremost Journey: 0 [49] 23
Shortest Journey: 0 [49] 23

Node 0 to node 24
Foremost Journey: 0 [49] 24
Shortest Journey: 0 [49] 24

Node 0 to node 25
Foremost Journey: 0 [49] 25
Shortest Journey: 0 [49] 25

Node 0 to node 26
Foremost Journey: 0 [49] 26
Shortest Journey: 0 [49] 26

Node 0 to node 27
Foremost Journey: 0 [49] 27
Shortest Journey: 0 [49] 27

Node 0 to node 28
Foremost Journey: 0 [49] 28
Shortest Journey: 0 [49] 28

Node 0 to node 29
Foremost Journey: 0 [49] 29
Shortest Journey: 0 [49] 29

Node 0 to node 30
Foremost Journey: 0 [49] 30
Shortest Journey: 0 [49] 30

Node 0 to node 31
Foremost Journey: 0 [49] 31
Shortest Journey: 0 [49] 31

Node 0 to node 32
Foremost Journey: 0 [49] 32
Shortest Journey: 0 [49] 32

Node 0 to node 33
Foremost Journey: 0 [49] 33
Shortest Journey: 0 [49] 33

Node 0 to node 34
Foremost Journey: 0 [49] 34
Shortest Journey: 0 [49] 34

Node 0 to node 35
Foremost Journey: 0 [49] 35
Shortest Journey: 0 [49] 35

Node 0 to node 36
Foremost Journey: 0 [49] 36
Shortest Journey: 0 [49] 36

Node 0 to node 37
Foremost Journey: 0 [49] 37
Shortest Journey: 0 [49] 37

Node 0 to node 38
Foremost Journey: 0 [49] 38
Shortest Journey: 0 [49] 38

Node 0 to node 39
Foremost Journey: 0 [49] 39
Shortest Journey: 0 [49] 39

Node 0 to node 40
Foremost Journey: 0 [49] 40
Shortest Journey: 0 [49] 40

Node 0 to node 41
Foremost Journey: 0 [49] 41
Shortest Journey: 0 [49] 41

Node 0 to node 42
Foremost Journey: 0 [49] 42
Shortest Journey: 0 [49] 42

Node 0 to node 43
Foremost Journey: 0 [49] 43
Shortest Journey: 0 [49] 43

Node 0 to node 44
Foremost Journey: 0 [49] 44
Shortest Journey: 0 [49] 44

Node 0 to node 45
Foremost Journey: 0 [49] 45
Shortest Journey: 0 [49] 45

Node 0 to node 46
Foremost Journey: 0 [49] 46
Shortest Journey: 0 [49] 46

Node 0 to node 47
Foremost Journey: 0 [49] 47
Shortest Journey: 0 [49] 47

Node 0 to node 48
Foremost Journey: 0 [49] 48
Shortest Journey: 0 [49] 48

Node 0 to node 49
Foremost Journey: 0 [49] 49
Shortest Journey: 0 [49] 49

Node 1 to node 0
Foremost Journey: 1 [49] 0
Shortest Journey: 1 [49] 0

Node 1 to node 2
Foremost Journey: 1 [49] 2
Shortest Journey: 1 [49] 2

Node 1 to node 3
Foremost Journey: 1 [49] 3
Shortest Journey: 1 [49] 3

Node 1 to node 4
Foremost Journey: 1 [49] 4
Shortest Journey: 1 [49] 4

Node 1 to node 5
Foremost Journey: 1 [49] 5
Shortest Journey: 1 [49] 5

Node 1 to node 6
Foremost Journey: 1 [49] 6
Shortest Journey: 1 [49] 6

Node 1 to node 7
Foremost Journey: 1 [49] 7
Shortest Journey: 1 [49] 7

Node 1 to node 8
Foremost Journey: 1 [49] 8
Shortest Journey: 1 [49] 8

Node 1 to node 9
Foremost Journey: 1 [49] 9
Shortest Journey: 1 [49] 9

Node 1 to node 10
Foremost Journey: 1 [49] 10
Shortest Journey: 1 [49] 10

Node 1 to node 11
Foremost Journey: 1 [49] 11
Shortest Journey: 1 [49] 11

Node 1 to node 12
Foremost Journey: 1 [49] 12
Shortest Journey: 1 [49] 12

Node 1 to node 13
Foremost Journey: 1 [49] 13
Shortest Journey: 1 [49] 13

Node 1 to node 14
Foremost Journey: 1 [49] 14
Shortest Journey: 1 [49] 14

Node 1 to node 15
Foremost Journey: 1 [49] 15
Shortest Journey: 1 [49] 15

Node 1 to node 16
Foremost Journey: 1 [49] 16
Shortest Journey: 1 [49] 16

Node 1 to node 17
Foremost Journey: 1 [49] 17
Shortest Journey: 1 [49] 17

Node 1 to node 18
Foremost Journey: 1 [49] 18
Shortest Journey: 1 [49] 18

Node 1 to node 19
Foremost Journey: 1 [49] 19
Shortest Journey: 1 [49] 19

Node 1 to node 20
Foremost Journey: 1 [49] 20
Shortest Journey: 1 [49] 20

Node 1 to node 21
Foremost Journey: 1 [49] 21
Shortest Journey: 1 [49] 21

Node 1 to node 22
Foremost Journey: 1 [49] 22
Shortest Journey: 1 [49] 22

Node 1 to node 23
Foremost Journey: 1 [49] 23
Shortest Journey: 1 [49] 23

Node 1 to node 24
Foremost Journey: 1 [49] 24
Shortest Journey: 1 [49] 24

Node 1 to node 25
Foremost Journey: 1 [49] 25
Shortest Journey: 1 [49] 25

Node 1 to node 26
Foremost Journey: 1 [49] 26
Shortest Journey: 1 [49] 26

Node 1 to node 27
Foremost Journey: 1 [49] 27
Shortest Journey: 1 [49] 27

Node 1 to node 28
Foremost Journey: 1 [49] 28
Shortest Journey: 1 [49] 28

Node 1 to node 29
Foremost Journey: 1 [49] 29
Shortest Journey: 1 [49] 29

Node 1 to node 30
Foremost Journey: 1 [49] 30
Shortest Journey: 1 [49] 30

Node 1 to node 31
Foremost Journey: 1 [49] 31
Shortest Journey: 1 [49] 31

Node 1 to node 32
Foremost Journey: 1 [49] 32
Shortest Journey: 1 [49] 32

Node 1 to node 33
Foremost Journey: 1 [49] 33
Shortest Journey: 1 [49] 33

Node 1 to node 34
Foremost Journey: 1 [49] 34
Shortest Journey: 1 [49] 34

Node 1 to node 35
Foremost Journey: 1 [49] 35
Shortest Journey: 1 [49] 35

Node 1 to node 36
Foremost Journey: 1 [49] 36
Shortest Journey: 1 [49] 36

Node 1 to node 37
Foremost Journey: 1 [49] 37
Shortest Journey: 1 [49] 37

Node 1 to node 38
Foremost Journey: 1 [49] 38
Shortest Journey: 1 [49] 38

Node 1 to node 39
Foremost Journey: 1 [49] 39
Shortest Journey: 1 [49] 39

Node 1 to node 40
Foremost Journey: 1 [49] 40
Shortest Journey: 1 [49] 40

Node 1 to node 41
Foremost Journey: 1 [49] 41
Shortest Journey: 1 [49] 41

Node 1 to node 42
Foremost Journey: 1 [49] 42
Shortest Journey: 1 [49] 42

Node 1 to node 43
Foremost Journey: 1 [49] 43
Shortest Journey: 1 [49] 43

Node 1 to node 44
Foremost Journey: 1 [49] 44
Shortest Journey: 1 [49] 44

Node 1 to node 45
Foremost Journey: 1 [49] 45
Shortest Journey: 1 [49] 45

Node 1 to node 46
Foremost Journey: 1 [49] 46
Shortest Journey: 1 [49] 46

Node 1 to node 47
Foremost Journey: 1 [49] 47
Shortest Journey: 1 [49] 47

Node 1 to node 48
Foremost Journey: 1 [49] 48
Shortest Journey: 1 [49] 48

Node 1 to node 49
Foremost Journey: 1 [49] 49
Shortest Journey: 1 [49] 49

Node 2 to node 0
Foremost Journey: 2 [49] 0
Shortest Journey: 2 [49] 0

Node 2 to node 1
Foremost Journey: 2 [49] 1
Shortest Journey: 2 [49] 1

Node 2 to node 3
Foremost Journey: 2 [49] 3
Shortest Journey: 2 [49] 3

Node 2 to node 4
Foremost Journey: 2 [49] 4
Shortest Journey: 2 [49] 4

Node 2 to node 5
Foremost Journey: 2 [49] 5
Shortest Journey: 2 [49] 5

Node 2 to node 6
Foremost Journey: 2 [49] 6
Shortest Journey: 2 [49] 6

Node 2 to node 7
Foremost Journey: 2 [49] 7
Shortest Journey: 2 [49] 7

Node 2 to node 8
Foremost Journey: 2 [49] 8
Shortest Journey: 2 [49] 8

Node 2 to node 9
Foremost Journey: 2 [49] 9
Shortest Journey: 2 [49] 9

Node 2 to node 10
Foremost Journey: 2 [49] 10
Shortest Journey: 2 [49] 10

Node 2 to node 11
Foremost Journey: 2 [49] 11
Shortest Journey: 2 [49] 11

Node 2 to node 12
Foremost Journey: 2 [49] 12
Shortest Journey: 2 [49] 12

Node 2 to node 13
Foremost Journey: 2 [49] 13
Shortest Journey: 2 [49] 13

Node 2 to node 14
Foremost Journey: 2 [49] 14
Shortest Journey: 2 [49] 14

Node 2 to node 15
Foremost Journey: 2 [49] 15
Shortest Journey: 2 [49] 15

Node 2 to node 16
Foremost Journey: 2 [49] 16
Shortest Journey: 2 [49] 16

Node 2 to node 17
Foremost Journey: 2 [49] 17
Shortest Journey: 2 [49] 17

Node 2 to node 18
Foremost Journey: 2 [49] 18
Shortest Journey: 2 [49] 18

Node 2 to node 19
Foremost Journey: 2 [49] 19
Shortest Journey: 2 [49] 19

Node 2 to node 20
Foremost Journey: 2 [49] 20
Shortest Journey: 2 [49] 20

Node 2 to node 21
Foremost Journey: 2 [49] 21
Shortest Journey: 2 [49] 21

Node 2 to node 22
Foremost Journey: 2 [49] 22
Shortest Journey: 2 [49] 22

Node 2 to node 23
Foremost Journey: 2 [49] 23
Shortest Journey: 2 [49] 23

Node 2 to node 24
Foremost Journey: 2 [49] 24
Shortest Journey: 2 [49] 24

Node 2 to node 25
Foremost Journey: 2 [49] 25
Shortest Journey: 2 [49] 25

Node 2 to node 26
Foremost Journey: 2 [49] 26
Shortest Journey: 2 [49] 26

Node 2 to node 27
Foremost Journey: 2 [49] 27
Shortest Journey: 2 [49] 27

Node 2 to node 28
Foremost Journey: 2 [49] 28
Shortest Journey: 2 [49] 28

Node 2 to node 29
Foremost Journey: 2 [49] 29
Shortest Journey: 2 [49] 29

Node 2 to node 30
Foremost Journey: 2 [49] 30
Shortest Journey: 2 [49] 30

Node 2 to node 31
Foremost Journey: 2 [49] 31
Shortest Journey: 2 [49] 31

Node 2 to node 32
Foremost Journey: 2 [49] 32
Shortest Journey: 2 [49] 32

Node 2 to node 33
Foremost Journey: 2 [49] 33
Shortest Journey: 2 [49] 33

Node 2 to node 34
Foremost Journey: 2 [49] 34
Shortest Journey: 2 [49] 34

Node 2 to node 35
Foremost Journey: 2 [49] 35
Shortest Journey: 2 [49] 35

Node 2 to node 36
Foremost Journey: 2 [49] 36
Shortest Journey: 2 [49] 36

Node 2 to node 37
Foremost Journey: 2 [49] 37
Shortest Journey: 2 [49] 37

Node 2 to node 38
Foremost Journey: 2 [49] 38
Shortest Journey: 2 [49] 38

Node 2 to node 39
Foremost Journey: 2 [49] 39
Shortest Journey: 2 [49] 39

Node 2 to node 40
Foremost Journey: 2 [49] 40
Shortest Journey: 2 [49] 40

Node 2 to node 41
Foremost Journey: 2 [49] 41
Shortest Journey: 2 [49] 41

Node 2 to node 42
Foremost Journey: 2 [49] 42
Shortest Journey: 2 [49] 42

Node 2 to node 43
Foremost Journey: 2 [49] 43
Shortest Journey: 2 [49] 43

Node 2 to node 44
Foremost Journey: 2 [49] 44
Shortest Journey: 2 [49] 44

Node 2 to node 45
Foremost Journey: 2 [49] 45
Shortest Journey: 2 [49] 45

Node 2 to node 46
Foremost Journey: 2 [49] 46
Shortest Journey: 2 [49] 46

Node 2 to node 47
Foremost Journey: 2 [49] 47
Shortest Journey: 2 [49] 47

Node 2 to node 48
Foremost Journey: 2 [49] 48
Shortest Journey: 2 [49] 48

Node 2 to node 49
Foremost Journey: 2 [49] 49
Shortest Journey: 2 [49] 49

Node 3 to node 0
Foremost Journey: 3 [49] 0
Shortest Journey: 3 [49] 0

Node 3 to node 1
Foremost Journey: 3 [49] 1
Shortest Journey: 3 [49] 1

Node 3 to node 2
Foremost Journey: 3 [49] 2
Shortest Journey: 3 [49] 2

Node 3 to node 4
Foremost Journey: 3 [49] 4
Shortest Journey: 3 [49] 4

Node 3 to node 5
Foremost Journey: 3 [49] 5
Shortest Journey: 3 [49] 5

Node 3 to node 6
Foremost Journey: 3 [49] 6
Shortest Journey: 3 [49] 6

Node 3 to node 7
Foremost Journey: 3 [49] 7
Shortest Journey: 3 [49] 7

Node 3 to node 8
Foremost Journey: 3 [49] 8
Shortest Journey: 3 [49] 8

Node 3 to node 9
Foremost Journey: 3 [49] 9
Shortest Journey: 3 [49] 9

Node 3 to node 10
Foremost Journey: 3 [49] 10
Shortest Journey: 3 [49] 10

Node 3 to node 11
Foremost Journey: 3 [49] 11
Shortest Journey: 3 [49] 11

Node 3 to node 12
Foremost Journey: 3 [49] 12
Shortest Journey: 3 [49] 12

Node 3 to node 13
Foremost Journey: 3 [49] 13
Shortest Journey: 3 [49] 13

Node 3 to node 14
Foremost Journey: 3 [49] 14
Shortest Journey: 3 [49] 14

Node 3 to node 15
Foremost Journey: 3 [49] 15
Shortest Journey: 3 [49] 15

Node 3 to node 16
Foremost Journey: 3 [49] 16
Shortest Journey: 3 [49] 16

Node 3 to node 17
Foremost Journey: 3 [49] 17
Shortest Journey: 3 [49] 17

Node 3 to node 18
Foremost Journey: 3 [49] 18
Shortest Journey: 3 [49] 18

Node 3 to node 19
Foremost Journey: 3 [49] 19
Shortest Journey: 3 [49] 19

Node 3 to node 20
Foremost Journey: 3 [49] 20
Shortest Journey: 3 [49] 20

Node 3 to node 21
Foremost Journey: 3 [49] 21
Shortest Journey: 3 [49] 21

Node 3 to node 22
Foremost Journey: 3 [49] 22
Shortest Journey: 3 [49] 22

Node 3 to node 23
Foremost Journey: 3 [49] 23
Shortest Journey: 3 [49] 23

Node 3 to node 24
Foremost Journey: 3 [49] 24
Shortest Journey: 3 [49] 24

Node 3 to node 25
Foremost Journey: 3 [49] 25
Shortest Journey: 3 [49] 25

Node 3 to node 26
Foremost Journey: 3 [49] 26
Shortest Journey: 3 [49] 26

Node 3 to node 27
Foremost Journey: 3 [49] 27
Shortest Journey: 3 [49] 27

Node 3 to node 28
Foremost Journey: 3 [49] 28
Shortest Journey: 3 [49] 28

Node 3 to node 29
Foremost Journey: 3 [49] 29
Shortest Journey: 3 [49] 29

Node 3 to node 30
Foremost Journey: 3 [49] 30
Shortest Journey: 3 [49] 30

Node 3 to node 31
Foremost Journey: 3 [49] 31
Shortest Journey: 3 [49] 31

Node 3 to node 32
Foremost Journey: 3 [49] 32
Shortest Journey: 3 [49] 32

Node 3 to node 33
Foremost Journey: 3 [49] 33
Shortest Journey: 3 [49] 33

Node 3 to node 34
Foremost Journey: 3 [49] 34
Shortest Journey: 3 [49] 34

Node 3 to node 35
Foremost Journey: 3 [49] 35
Shortest Journey: 3 [49] 35

Node 3 to node 36
Foremost Journey: 3 [49] 36
Shortest Journey: 3 [49] 36

Node 3 to node 37
Foremost Journey: 3 [49] 37
Shortest Journey: 3 [49] 37

Node 3 to node 38
Foremost Journey: 3 [49] 38
Shortest Journey: 3 [49] 38

Node 3 to node 39
Foremost Journey: 3 [49] 39
Shortest Journey: 3 [49] 39

Node 3 to node 40
Foremost Journey: 3 [49] 40
Shortest Journey: 3 [49] 40

Node 3 to node 41
Foremost Journey: 3 [49] 41
Shortest Journey: 3 [49] 41

Node 3 to node 42
Foremost Journey: 3 [49] 42
Shortest Journey: 3 [49] 42

Node 3 to node 43
Foremost Journey: 3 [49] 43
Shortest Journey: 3 [49] 43

Node 3 to node 44
Foremost Journey: 3 [49] 44
Shortest Journey: 3 [49] 44

Node 3 to node 45
Foremost Journey: 3 [49] 45
Shortest Journey: 3 [49] 45

Node 3 to node 46
Foremost Journey: 3 [49] 46
Shortest Journey: 3 [49] 46

Node 3 to node 47
Foremost Journey: 3 [49] 47
Shortest Journey: 3 [49] 47

Node 3 to node 48
Foremost Journey: 3 [49] 48
Shortest Journey: 3 [49] 48

Node 3 to node 49
Foremost Journey: 3 [49] 49
Shortest Journey: 3 [49] 49

Node 4 to node 0
Foremost Journey: 4 [49] 0
Shortest Journey: 4 [49] 0

Node 4 to node 1
Foremost Journey: 4 [49] 1
Shortest Journey: 4 [49] 1

Node 4 to node 2
Foremost Journey: 4 [49] 2
Shortest Journey: 4 [49] 2

Node 4 to node 3
Foremost Journey: 4 [49] 3
Shortest Journey: 4 [49] 3

Node 4 to node 5
Foremost Journey: 4 [49] 5
Shortest Journey: 4 [49] 5

Node 4 to node 6
Foremost Journey: 4 [49] 6
Shortest Journey: 4 [49] 6

Node 4 to node 7
Foremost Journey: 4 [49] 7
Shortest Journey: 4 [49] 7

Node 4 to node 8
Foremost Journey: 4 [49] 8
Shortest Journey: 4 [49] 8

Node 4 to node 9
Foremost Journey: 4 [49] 9
Shortest Journey: 4 [49] 9

Node 4 to node 10
Foremost Journey: 4 [49] 10
Shortest Journey: 4 [49] 10

Node 4 to node 11
Foremost Journey: 4 [49] 11
Shortest Journey: 4 [49] 11

Node 4 to node 12
Foremost Journey: 4 [49] 12
Shortest Journey: 4 [49] 12

Node 4 to node 13
Foremost Journey: 4 [49] 13
Shortest Journey: 4 [49] 13

Node 4 to node 14
Foremost Journey: 4 [49] 14
Shortest Journey: 4 [49] 14

Node 4 to node 15
Foremost Journey: 4 [49] 15
Shortest Journey: 4 [49] 15

Node 4 to node 16
Foremost Journey: 4 [49] 16
Shortest Journey: 4 [49] 16

Node 4 to node 17
Foremost Journey: 4 [49] 17
Shortest Journey: 4 [49] 17

Node 4 to node 18
Foremost Journey: 4 [49] 18
Shortest Journey: 4 [49] 18

Node 4 to node 19
Foremost Journey: 4 [49] 19
Shortest Journey: 4 [49] 19

Node 4 to node 20
Foremost Journey: 4 [49] 20
Shortest Journey: 4 [49] 20

Node 4 to node 21
Foremost Journey: 4 [49] 21
Shortest Journey: 4 [49] 21

Node 4 to node 22
Foremost Journey: 4 [49] 22
Shortest Journey: 4 [49] 22

Node 4 to node 23
Foremost Journey: 4 [49] 23
Shortest Journey: 4 [49] 23

Node 4 to node 24
Foremost Journey: 4 [49] 24
Shortest Journey: 4 [49] 24

Node 4 to node 25
Foremost Journey: 4 [49] 25
Shortest Journey: 4 [49] 25

Node 4 to node 26
Foremost Journey: 4 [49] 26
Shortest Journey: 4 [49] 26

Node 4 to node 27
Foremost Journey: 4 [49] 27
Shortest Journey: 4 [49] 27

Node 4 to node 28
Foremost Journey: 4 [49] 28
Shortest Journey: 4 [49] 28

Node 4 to node 29
Foremost Journey: 4 [49] 29
Shortest Journey: 4 [49] 29

Node 4 to node 30
Foremost Journey: 4 [49] 30
Shortest Journey: 4 [49] 30

Node 4 to node 31
Foremost Journey: 4 [49] 31
Shortest Journey: 4 [49] 31

