Message	EAD	MinHop	MinTrs
1	902	1	2
2	614	1	2
3	995	2	572
4	897	2	210
5	638	1	2
6	950	2	50
7	555	1	2
8	1662	1	2
9	957	1	2
10	818	2	130
11	902	2	243
12	1148	1	2
13	802	2	342
14	971	2	61
15	1691	2	176
16	842	1	2
17	1072	2	9
18	991	1	2
19	971	1	2
20	1903	2	67
21	1441	2	185
22	1329	1	2
23	1169	2	29
24	1487	2	182
25	1814	2	279
26	3285	2	416
27	1526	2	170
28	912	1	2
29	1285	1	2
30	2087	2	578
31	1976	1	2
32	2526	2	43
33	1490	2	135
34	2206	2	130
35	1862	2	214
36	1928	2	77
37	1903	2	539
38	1737	1	2
39	1537	2	160
40	2140	2	30
41	1867	2	147
42	1857	2	416
43	2684	3	275
44	1724	1	2
45	3173	2	286
46	1640	1	2
47	1755	1	2
48	2616	1	2
49	1979	2	76
50	1988	1	2
51	2778	2	408
52	2206	1	2
53	2219	2	98
54	2327	3	336
55	2701	2	62
56	2583	2	248
57	2957	2	159
58	1919	1	2
59	3285	2	183
60	2415	1	2
61	2709	2	113
62	2854	2	291
63	2701	2	161
64	2141	2	25
65	3225	2	337
66	2468	3	407
67	2465	2	244
68	2583	2	248
69	2675	2	51
70	2853	2	190
71	3101	1	2
72	4639	2	210
73	3791	3	357
74	3239	2	160
75	2522	2	158
76	2307	1	2
77	3158	2	137
78	3938	2	181
79	2939	2	246
80	2536	2	135
81	3932	4	843
82	3597	2	331
83	3612	2	139
84	3180	2	245
85	4244	3	383
86	2601	1	2
87	4352	3	398
88	3579	1	2
89	3077	2	18
90	3013	2	103
91	4352	2	45
92	3226	2	196
93	4125	2	204
94	3564	2	71
95	3461	2	95
96	3811	2	257
97	3527	2	264
98	4054	3	694
99	3254	2	85
100	-	-	-
101	4509	5	613
102	3792	2	309
103	4363	2	832
104	-	-	-
105	3755	2	29
106	3868	3	690
107	3869	2	4
108	3765	1	2
109	4112	2	71
110	3986	2	28
111	4564	2	374
112	-	-	-
113	3659	1	2
114	-	-	-
115	3816	1	2
116	4335	2	43
117	4639	3	923
118	4764	3	1162
119	-	-	-
120	4104	1	2
121	-	-	-
122	3920	1	2
123	4189	2	138
124	-	-	-
125	4339	2	250
126	3993	2	79
127	4022	1	2
128	4726	2	367
129	4668	3	430
130	-	-	-
131	-	-	-
132	4377	2	106
133	4817	5	707
134	-	-	-
135	4601	3	404
136	-	-	-
137	4667	3	513
138	4363	3	136
139	4841	3	608
140	-	-	-
141	4935	3	383
142	-	-	-
143	-	-	-
144	4592	1	2
145	4823	3	134
146	4868	5	498
147	-	-	-
148	-	-	-
149	-	-	-
150	-	-	-
151	4843	2	183
152	-	-	-
153	-	-	-
154	-	-	-
155	-	-	-
156	-	-	-
157	-	-	-
158	-	-	-
159	-	-	-
160	-	-	-
161	-	-	-
162	-	-	-
163	-	-	-
164	-	-	-
165	-	-	-
166	-	-	-
167	-	-	-
168	-	-	-
